date	dateNorm	deaths	cumDeaths	totalTweets	nonRTs	rTs	pos	neg	neu
1308690000	22/06/2011	1	1884	0	0	0	0	0	0
1308776400	23/06/2011	2	1886	0	0	0	0	0	0
1308862800	24/06/2011	19	1905	0	0	0	0	0	0
1308949200	25/06/2011	3	1908	0	0	0	0	0	0
1309035600	26/06/2011	2	1910	0	0	0	0	0	0
1309122000	27/06/2011	2	1912	0	0	0	0	0	0
1309208400	28/06/2011	1	1913	0	0	0	0	0	0
1309294800	29/06/2011	9	1922	0	0	0	0	0	0
1309381200	30/06/2011	4	1926	0	0	0	0	0	0
1309467600	01/07/2011	29	1955	0	0	0	0	0	0
1309554000	02/07/2011	3	1958	0	0	0	0	0	0
1309640400	03/07/2011	6	1964	0	0	0	0	0	0
1309726800	04/07/2011	2	1966	0	0	0	0	0	0
1309813200	05/07/2011	29	1995	0	0	0	0	0	0
1309899600	06/07/2011	2	1997	0	0	0	0	0	0
1309986000	07/07/2011	4	2001	0	0	0	0	0	0
1310072400	08/07/2011	19	2020	0	0	0	0	0	0
1310158800	09/07/2011	2	2022	0	0	0	0	0	0
1310245200	10/07/2011	3	2025	0	0	0	0	0	0
1310331600	11/07/2011	1	2026	0	0	0	0	0	0
1310418000	12/07/2011	0	2026	0	0	0	0	0	0
1310504400	13/07/2011	7	2033	0	0	0	0	0	0
1310590800	14/07/2011	8	2041	0	0	0	0	0	0
1310677200	15/07/2011	37	2078	0	0	0	0	0	0
1310763600	16/07/2011	9	2087	0	0	0	0	0	0
1310850000	17/07/2011	11	2098	0	0	0	0	0	0
1310936400	18/07/2011	19	2117	0	0	0	0	0	0
1311022800	19/07/2011	13	2130	0	0	0	0	0	0
1311109200	20/07/2011	1	2131	0	0	0	0	0	0
1311195600	21/07/2011	6	2137	0	0	0	0	0	0
1311282000	22/07/2011	18	2155	0	0	0	0	0	0
1311368400	23/07/2011	8	2163	0	0	0	0	0	0
1311454800	24/07/2011	5	2168	0	0	0	0	0	0
1311541200	25/07/2011	6	2174	0	0	0	0	0	0
1311627600	26/07/2011	6	2180	0	0	0	0	0	0
1311714000	27/07/2011	13	2193	0	0	0	0	0	0
1311800400	28/07/2011	5	2198	0	0	0	0	0	0
1311886800	29/07/2011	22	2220	0	0	0	0	0	0
1311973200	30/07/2011	12	2232	0	0	0	0	0	0
1312059600	31/07/2011	135	2367	0	0	0	0	0	0
1312146000	01/08/2011	40	2407	0	0	0	0	0	0
1312232400	02/08/2011	11	2418	0	0	0	0	0	0
1312318800	03/08/2011	19	2437	0	0	0	0	0	0
1312405200	04/08/2011	15	2452	0	0	0	0	0	0
1312491600	05/08/2011	25	2477	0	0	0	0	0	0
1312578000	06/08/2011	6	2483	0	0	0	0	0	0
1312664400	07/08/2011	144	2627	0	0	0	0	0	0
1312750800	08/08/2011	9	2636	0	0	0	0	0	0
1312837200	09/08/2011	36	2672	0	0	0	0	0	0
1312923600	10/08/2011	19	2691	0	0	0	0	0	0
1313010000	11/08/2011	19	2710	0	0	0	0	0	0
1313096400	12/08/2011	26	2736	0	0	0	0	0	0
1313182800	13/08/2011	14	2750	0	0	0	0	0	0
1313269200	14/08/2011	42	2792	0	0	0	0	0	0
1313355600	15/08/2011	21	2813	0	0	0	0	0	0
1313442000	16/08/2011	7	2820	0	0	0	0	0	0
1313528400	17/08/2011	18	2838	0	0	0	0	0	0
1313614800	18/08/2011	11	2849	0	0	0	0	0	0
1313701200	19/08/2011	45	2894	0	0	0	0	0	0
1313787600	20/08/2011	18	2912	0	0	0	0	0	0
1313874000	21/08/2011	3	2915	0	0	0	0	0	0
1313960400	22/08/2011	37	2952	0	0	0	0	0	0
1314046800	23/08/2011	10	2962	0	0	0	0	0	0
1314133200	24/08/2011	22	2984	0	0	0	0	0	0
1314219600	25/08/2011	10	2994	0	0	0	0	0	0
1314306000	26/08/2011	15	3009	0	0	0	0	0	0
1314392400	27/08/2011	13	3022	0	0	0	0	0	0
1314478800	28/08/2011	17	3039	0	0	0	0	0	0
1314565200	29/08/2011	6	3045	0	0	0	0	0	0
1314651600	30/08/2011	10	3055	0	0	0	0	0	0
1314738000	31/08/2011	4	3059	0	0	0	0	0	0
1314824400	01/09/2011	9	3068	0	0	0	0	0	0
1314910800	02/09/2011	25	3093	0	0	0	0	0	0
1314997200	03/09/2011	8	3101	0	0	0	0	0	0
1315083600	04/09/2011	17	3118	0	0	0	0	0	0
1315170000	05/09/2011	12	3130	0	0	0	0	0	0
1315256400	06/09/2011	13	3143	0	0	0	0	0	0
1315342800	07/09/2011	48	3191	0	0	0	0	0	0
1315429200	08/09/2011	16	3207	0	0	0	0	0	0
1315515600	09/09/2011	31	3238	0	0	0	0	0	0
1315602000	10/09/2011	26	3264	0	0	0	0	0	0
1315688400	11/09/2011	17	3281	0	0	0	0	0	0
1315774800	12/09/2011	23	3304	0	0	0	0	0	0
1315861200	13/09/2011	11	3315	0	0	0	0	0	0
1315947600	14/09/2011	15	3330	0	0	0	0	0	0
1316034000	15/09/2011	15	3345	0	0	0	0	0	0
1316120400	16/09/2011	52	3397	0	0	0	0	0	0
1316206800	17/09/2011	15	3412	0	0	0	0	0	0
1316293200	18/09/2011	6	3418	0	0	0	0	0	0
1316379600	19/09/2011	14	3432	0	0	0	0	0	0
1316466000	20/09/2011	8	3440	0	0	0	0	0	0
1316552400	21/09/2011	14	3454	0	0	0	0	0	0
1316638800	22/09/2011	7	3461	0	0	0	0	0	0
1316725200	23/09/2011	27	3488	0	0	0	0	0	0
1316811600	24/09/2011	10	3498	0	0	0	0	0	0
1316898000	25/09/2011	7	3505	0	0	0	0	0	0
1316984400	26/09/2011	8	3513	0	0	0	0	0	0
1317070800	27/09/2011	14	3527	0	0	0	0	0	0
1317157200	28/09/2011	25	3552	0	0	0	0	0	0
1317243600	29/09/2011	7	3559	0	0	0	0	0	0
1317330000	30/09/2011	19	3578	0	0	0	0	0	0
1317416400	01/10/2011	16	3594	0	0	0	0	0	0
1317502800	02/10/2011	13	3607	0	0	0	0	0	0
1317589200	03/10/2011	1	3608	0	0	0	0	0	0
1317675600	04/10/2011	13	3621	0	0	0	0	0	0
1317762000	05/10/2011	18	3639	0	0	0	0	0	0
1317848400	06/10/2011	10	3649	0	0	0	0	0	0
1317934800	07/10/2011	23	3672	0	0	0	0	0	0
1318021200	08/10/2011	19	3691	0	0	0	0	0	0
1318107600	09/10/2011	18	3709	0	0	0	0	0	0
1318194000	10/10/2011	6	3715	0	0	0	0	0	0
1318280400	11/10/2011	12	3727	0	0	0	0	0	0
1318366800	12/10/2011	1	3728	0	0	0	0	0	0
