date	dateNorm	deaths	cumDeaths	totalTweets	nonRTs	rTs	pos	neg	neu
1402261200.0	09/06/2014	4.6	231.0	0	0	0	0	0	0
1402347600.0	10/06/2014	22.0	253.0	0	0	0	0	0	0
1402434000.0	11/06/2014	2.4285714285714284	255.43	0	0	0	0	0	0
1402520400.0	12/06/2014	2.4285714285714284	257.86	0	0	0	0	0	0
1402606800.0	13/06/2014	2.4285714285714284	260.29	0	0	0	0	0	0
1402693200.0	14/06/2014	2.4285714285714284	262.71	0	0	0	0	0	0
1402779600.0	15/06/2014	2.4285714285714284	265.14	0	0	0	0	0	0
1402866000.0	16/06/2014	2.4285714285714284	267.57	0	0	0	0	0	0
1402952400.0	17/06/2014	2.4285714285714284	270.0	0	0	0	0	0	0
1403038800.0	18/06/2014	11.166666666666666	281.17	0	0	0	0	0	0
1403125200.0	19/06/2014	11.166666666666666	292.33	0	0	0	0	0	0
1403211600.0	20/06/2014	11.166666666666666	303.5	0	0	0	0	0	0
1403298000.0	21/06/2014	11.166666666666666	314.67	0	0	0	0	0	0
1403384400.0	22/06/2014	11.166666666666666	325.83	0	0	0	0	0	0
1403470800.0	23/06/2014	11.166666666666666	337.0	0	0	0	0	0	0
1403557200.0	24/06/2014	0.125	337.13	0	0	0	0	0	0
1403643600.0	25/06/2014	0.125	337.25	0	0	0	0	0	0
1403730000.0	26/06/2014	0.125	337.38	0	0	0	0	0	0
1403816400.0	27/06/2014	0.125	337.5	0	0	0	0	0	0
1403902800.0	28/06/2014	0.125	337.63	0	0	0	0	0	0
1403989200.0	29/06/2014	0.125	337.75	0	0	0	0	0	0
1404075600.0	30/06/2014	0.125	337.88	0	0	0	0	0	0
1404162000.0	01/07/2014	0.125	338.0	0	0	0	0	0	0
1404248400.0	02/07/2014	25.8	363.8	0	0	0	0	0	0
1404334800.0	03/07/2014	25.8	389.6	0	0	0	0	0	0
1404421200.0	04/07/2014	25.8	415.4	0	0	0	0	0	0
1404507600.0	05/07/2014	25.8	441.2	0	0	0	0	0	0
1404594000.0	06/07/2014	25.8	467.0	0	0	0	0	0	0
1404680400.0	07/07/2014	14.0	481.0	0	0	0	0	0	0
1404766800.0	08/07/2014	6.166666666666667	487.17	0	0	0	0	0	0
1404853200.0	09/07/2014	6.166666666666667	493.33	0	0	0	0	0	0
1404939600.0	10/07/2014	6.166666666666667	499.5	0	0	0	0	0	0
1405026000.0	11/07/2014	6.166666666666667	505.67	0	0	0	0	0	0
1405112400.0	12/07/2014	6.166666666666667	511.83	0	0	0	0	0	0
1405198800.0	13/07/2014	6.166666666666667	518.0	0	0	0	0	0	0
1405285200.0	14/07/2014	10.5	528.5	0	0	0	0	0	0
1405371600.0	15/07/2014	10.5	539.0	0	0	0	0	0	0
1405458000.0	16/07/2014	12.4	551.4	0	0	0	0	0	0
1405544400.0	17/07/2014	12.4	563.8	0	0	0	0	0	0
1405630800.0	18/07/2014	12.4	576.2	0	0	0	0	0	0
1405717200.0	19/07/2014	12.4	588.6	0	0	0	0	0	0
1405803600.0	20/07/2014	12.4	601.0	0	0	0	0	0	0
1405890000.0	21/07/2014	10.333333333333334	611.33	0	0	0	0	0	0
1405976400.0	22/07/2014	10.333333333333334	621.67	0	0	0	0	0	0
